P_norm,24h X_t,24h X_t-1,24h X_t-2,24h X_t-3,24h X_t-4,Xt
0.277108434,7.3075128,7.147138,6.990412,6.813618,6.6050916,9.523847422
0.204819277,7.4574842,7.3075128,7.147138,6.990412,6.813618,9.447352244
0.180722892,7.5519724,7.4574842,7.3075128,7.147138,6.990412,9.346431325
0.156626506,7.5539327,7.5519724,7.4574842,7.3075128,7.147138,9.30897721
0.156626506,7.4654045,7.5539327,7.5519724,7.4574842,7.3075128,9.011509707
0.156626506,7.3000736,7.4654045,7.5539327,7.5519724,7.4574842,8.521711392
0.180722892,7.0720677,7.3000736,7.4654045,7.5539327,7.5519724,8.288238703
0.21686747,6.817838,7.0720677,7.3000736,7.4654045,7.5539327,8.436936667
0.253012048,6.5903335,6.817838,7.0720677,7.3000736,7.4654045,8.022501756
0.289156627,6.474848,6.5903335,6.817838,7.0720677,7.3000736,7.34653772
0.373493976,6.3627234,6.474848,6.5903335,6.817838,7.0720677,7.292434927
0.277108434,6.26236,6.3627234,6.474848,6.5903335,6.817838,7.077498597
0.180722892,6.2431283,6.26236,6.3627234,6.474848,6.5903335,6.62498323
0.084337349,6.3148403,6.2431283,6.26236,6.3627234,6.474848,6.189046262
0.012048193,6.4665303,6.3148403,6.2431283,6.26236,6.3627234,5.897887588
0.012048193,6.6744266,6.4665303,6.3148403,6.2431283,6.26236,5.771041129
0,6.90686,6.6744266,6.4665303,6.3148403,6.2431283,6.439575781
0.036144578,7.1316123,6.90686,6.6744266,6.4665303,6.3148403,7.097445594
0.108433735,7.328122,7.1316123,6.90686,6.6744266,6.4665303,7.370192686
0.13253012,7.5207214,7.328122,7.1316123,6.90686,6.6744266,7.328635488
0.180722892,7.7058425,7.5207214,7.328122,7.1316123,6.90686,7.283009814
0.192771084,7.8796887,7.7058425,7.5207214,7.328122,7.1316123,7.239472767
0.228915663,8.044747,7.8796887,7.7058425,7.5207214,7.328122,7.290251934
0.240963855,8.191035,8.044747,7.8796887,7.7058425,7.5207214,7.268756933
0.204819277,8.286823,8.191035,8.044747,7.8796887,7.7058425,7.326384568
0.180722892,8.297332,8.286823,8.191035,8.044747,7.8796887,7.470767318
0.228915663,8.207605,8.297332,8.286823,8.191035,8.044747,7.637278493
0.21686747,8.028274,8.207605,8.297332,8.286823,8.191035,7.741315674
0.21686747,7.781451,8.028274,8.207605,8.297332,8.286823,7.748147023
0.240963855,7.5297275,7.781451,8.028274,8.207605,8.297332,7.761387682
0.289156627,7.3186216,7.5297275,7.781451,8.028274,8.207605,7.697545038
0.337349398,7.1289105,7.3186216,7.5297275,7.781451,8.028274,7.624993152
0.373493976,6.937404,7.1289105,7.3186216,7.5297275,7.781451,6.94107171
0.409638554,6.7625756,6.937404,7.1289105,7.3186216,7.5297275,6.075570785
0.493975904,6.6077065,6.7625756,6.937404,7.1289105,7.3186216,6.076144626
0.457831325,6.4983006,6.6077065,6.7625756,6.937404,7.1289105,5.868205065
0.385542169,6.457819,6.4983006,6.6077065,6.7625756,6.937404,5.326706732
0.337349398,6.496776,6.457819,6.4983006,6.6077065,6.7625756,4.740256545
0.301204819,6.626279,6.496776,6.457819,6.4983006,6.6077065,4.262678404
0.337349398,6.8529224,6.626279,6.496776,6.457819,6.4983006,4.138549659
0.397590361,7.1654043,6.8529224,6.626279,6.496776,6.457819,4.555007881
0.409638554,7.4725966,7.1654043,6.8529224,6.626279,6.496776,5.011185683
0.445783133,7.724451,7.4725966,7.1654043,6.8529224,6.626279,5.294782216
0.493975904,7.912516,7.724451,7.4725966,7.1654043,6.8529224,5.1247381
0.542168675,8.040761,7.912516,7.724451,7.4725966,7.1654043,4.771076455
0.602409639,8.109572,8.040761,7.912516,7.724451,7.4725966,4.535690765
0.638554217,8.124093,8.109572,8.040761,7.912516,7.724451,4.027001399
0.626506024,8.086449,8.124093,8.109572,8.040761,7.912516,4.065840831
0.626506024,7.9960055,8.086449,8.124093,8.109572,8.040761,4.462155904
0.614457831,7.825716,7.9960055,8.086449,8.124093,8.109572,5.165640395
0.602409639,7.5367513,7.825716,7.9960055,8.086449,8.124093,6.197632589
0.56626506,7.1018543,7.5367513,7.825716,7.9960055,8.086449,7.277167364
0.56626506,6.5432067,7.1018543,7.5367513,7.825716,7.9960055,8.269680507
0.56626506,5.9481616,6.5432067,7.1018543,7.5367513,7.825716,8.937415163
0.614457831,5.4410634,5.9481616,6.5432067,7.1018543,7.5367513,9.317313366
0.662650602,5.1688614,5.4410634,5.9481616,6.5432067,7.1018543,9.452410917
0.722891566,5.213354,5.1688614,5.4410634,5.9481616,6.5432067,8.494439856
0.78313253,5.5227594,5.213354,5.1688614,5.4410634,5.9481616,7.731268161
0.771084337,5.9078975,5.5227594,5.213354,5.1688614,5.4410634,7.743977503
0.698795181,6.2482767,5.9078975,5.5227594,5.213354,5.1688614,7.500823252
0.638554217,6.467797,6.2482767,5.9078975,5.5227594,5.213354,7.01804028
0.518072289,6.516228,6.467797,6.2482767,5.9078975,5.5227594,6.45119838
0.481927711,6.410091,6.516228,6.467797,6.2482767,5.9078975,5.932837195
0.493975904,6.225031,6.410091,6.516228,6.467797,6.2482767,5.454185289
0.493975904,6.0474334,6.225031,6.410091,6.516228,6.467797,5.160574514
0.518072289,5.9447527,6.0474334,6.225031,6.410091,6.516228,4.759745859
0.590361446,5.9417005,5.9447527,6.0474334,6.225031,6.410091,4.770078803
0.554216867,6.073877,5.9417005,5.9447527,6.0474334,6.225031,4.886159238
0.578313253,6.3422914,6.073877,5.9417005,5.9447527,6.0474334,5.161161983
0.590361446,6.7164693,6.3422914,6.073877,5.9417005,5.9447527,5.573395745
0.554216867,7.141063,6.7164693,6.3422914,6.073877,5.9417005,6.125772231
0.542168675,7.571655,7.141063,6.7164693,6.3422914,6.073877,6.774403412
