,,Power,Xt,P,P_norm,24h X_t,24h X_t-1,24h X_t-2,24h X_t-3,24h X_t-4,,1h
2022/1/27,4:00:00,1.0431218,10.00396832,1022.7,0.253012048,7.090876,7.2439528,7.2988596,7.240504,7.1226816,,9.959557533
2022/1/27,5:00:00,1.00390511,9.853975896,1022.7,0.253012048,6.9060583,7.090876,7.2439528,7.2988596,7.240504,,9.570375443
2022/1/27,6:00:00,0.992231167,9.807238509,1022.7,0.253012048,6.738641,6.9060583,7.090876,7.2439528,7.2988596,,9.549286842
2022/1/27,7:00:00,0.969581509,9.718913389,1022.8,0.265060241,6.59259,6.738641,6.9060583,7.090876,7.2439528,,9.497509003
2022/1/27,8:00:00,0.929765757,9.566372396,1023.6,0.361445783,6.4716234,6.59259,6.738641,6.9060583,7.090876,,9.391417503
2022/1/27,9:00:00,0.937107359,9.590417769,1023.9,0.397590361,6.381282,6.4716234,6.59259,6.738641,6.9060583,,9.209445
2022/1/27,10:00:00,0.543517391,8.003449171,1024.2,0.43373494,6.3360844,6.381282,6.4716234,6.59259,6.738641,,9.398634911
2022/1/27,11:00:00,0.512915472,7.859406906,1024.7,0.493975904,6.1846557,6.3360844,6.381282,6.4716234,6.59259,,6.626010418
2022/1/27,12:00:00,0.649203791,8.50169107,1025,0.530120482,6.0670705,6.1846557,6.3360844,6.381282,6.4716234,,8.021284103
2022/1/27,13:00:00,0.617752671,8.381090582,1024.4,0.457831325,6.0433154,6.0670705,6.1846557,6.3360844,6.381282,,8.592029572
2022/1/27,14:00:00,0.508921568,7.89045821,1023.9,0.397590361,6.0859675,6.0433154,6.0670705,6.1846557,6.3360844,,8.151088715
2022/1/27,15:00:00,0.412809739,7.354481194,1023.3,0.325301205,6.1541104,6.0859675,6.0433154,6.0670705,6.1846557,,7.538722992
2022/1/27,16:00:00,0.356153741,7.034860534,1023.1,0.301204819,6.2356277,6.1541104,6.0859675,6.0433154,6.0670705,,7.01328516
2022/1/27,17:00:00,0.335679349,6.887692155,1023.1,0.301204819,6.34596,6.2356277,6.1541104,6.0859675,6.0433154,,6.858846188
2022/1/27,18:00:00,0.329686345,6.828368165,1023.3,0.325301205,6.506767,6.34596,6.2356277,6.1541104,6.0859675,,6.821929932
2022/1/27,19:00:00,0.339858158,6.874052896,1023.8,0.385542169,6.673917,6.506767,6.34596,6.2356277,6.1541104,,6.846997738
2022/1/27,20:00:00,0.31273973,6.662345261,1024,0.409638554,6.7838893,6.673917,6.506767,6.34596,6.2356277,,6.973506451
2022/1/27,21:00:00,0.266226499,6.314158184,1024.2,0.43373494,6.8697042,6.7838893,6.673917,6.506767,6.34596,,6.621206284
2022/1/27,22:00:00,0.237756212,6.100543025,1024.5,0.469879518,6.9587164,6.8697042,6.7838893,6.673917,6.506767,,6.254695892
2022/1/27,23:00:00,0.246080964,6.157134581,1024.8,0.506024096,7.064657,6.9587164,6.8697042,6.7838893,6.673917,,6.124956131
2022/1/28,0:00:00,0.309937895,6.618592643,1024.9,0.518072289,7.201796,7.064657,6.9587164,6.8697042,6.7838893,,6.331881523
2022/1/28,1:00:00,0.465253896,7.554718218,1025,0.530120482,7.377685,7.201796,7.064657,6.9587164,6.8697042,,7.016726017
2022/1/28,2:00:00,0.785370255,9.005560698,1024.8,0.506024096,7.6109734,7.377685,7.201796,7.064657,6.9587164,,8.211645126
2022/1/28,3:00:00,1.029282622,9.91258176,1024.8,0.506024096,7.87667,7.6109734,7.377685,7.201796,7.064657,,9.940814972
2022/1/28,4:00:00,1.02782003,9.905152181,1024.8,0.506024096,8.152247,7.87667,7.6109734,7.377685,7.201796,,10.28865623
2022/1/28,5:00:00,0.981937847,9.728169209,1024.6,0.481927711,8.367226,8.152247,7.87667,7.6109734,7.377685,,9.70878315
2022/1/28,6:00:00,0.968330472,9.671456883,1024.6,0.481927711,8.466357,8.367226,8.152247,7.87667,7.6109734,,9.553407669
2022/1/28,7:00:00,0.954868006,9.616746847,1024.7,0.493975904,8.425569,8.466357,8.367226,8.152247,7.87667,,9.521706581
2022/1/28,8:00:00,0.940527845,9.559156828,1025.4,0.578313253,8.255454,8.425569,8.466357,8.367226,8.152247,,9.455024719
2022/1/28,9:00:00,0.903106965,9.418752697,1025.7,0.614457831,8.000147,8.255454,8.425569,8.466357,8.367226,,9.39287281
2022/1/28,10:00:00,0.541928627,7.961921511,1026.2,0.674698795,7.683868,8.000147,8.255454,8.425569,8.466357,,9.170746803
2022/1/28,11:00:00,0.45054386,7.493449243,1026.4,0.698795181,7.3551664,7.683868,8.000147,8.255454,8.425569,,6.845102787
2022/1/28,12:00:00,0.460062991,7.571734476,1026.8,0.746987952,6.946912,7.3551664,7.683868,8.000147,8.255454,,7.380205631
2022/1/28,13:00:00,0.465195524,7.623498774,1026.1,0.662650602,6.5043597,6.946912,7.3551664,7.683868,8.000147,,7.418931961
2022/1/28,14:00:00,0.452664986,7.571077298,1025.5,0.590361446,6.1495676,6.5043597,6.946912,7.3551664,7.683868,,7.596810818
2022/1/28,15:00:00,0.406541002,7.322277247,1024.7,0.493975904,5.912036,6.1495676,6.5043597,6.946912,7.3551664,,7.449412823
2022/1/28,16:00:00,0.358130019,7.053224709,1024.4,0.457831325,5.7739916,5.912036,6.1495676,6.5043597,6.946912,,7.120807648
2022/1/28,17:00:00,0.302459568,6.647731538,1024.6,0.481927711,5.7256184,5.7739916,5.912036,6.1495676,6.5043597,,6.870961189
2022/1/28,18:00:00,0.255310173,6.275237211,1024.8,0.506024096,5.760458,5.7256184,5.7739916,5.912036,6.1495676,,6.410173893
2022/1/28,19:00:00,0.208284518,5.859747833,1025.6,0.602409639,5.889147,5.760458,5.7256184,5.7739916,5.912036,,6.120627403
2022/1/28,20:00:00,0.191045622,5.670794779,1026.1,0.662650602,6.1118255,5.889147,5.760458,5.7256184,5.7739916,,5.71521616
2022/1/28,21:00:00,0.181944616,5.57054073,1026.6,0.722891566,6.438684,6.1118255,5.889147,5.760458,5.7256184,,5.697114944
2022/1/28,22:00:00,0.192150063,5.668932818,1026.8,0.746987952,6.8374915,6.438684,6.1118255,5.889147,5.760458,,5.662610054
2022/1/28,23:00:00,0.243301604,6.131756141,1027.1,0.78313253,7.2309003,6.8374915,6.438684,6.1118255,5.889147,,5.899924278
2022/1/29,0:00:00,0.321854854,6.697448932,1027.1,0.78313253,7.5318356,7.2309003,6.8374915,6.438684,6.1118255,,6.554685116
2022/1/29,1:00:00,0.413057008,7.26389934,1027.2,0.795180723,7.7052116,7.5318356,7.2309003,6.8374915,6.438684,,7.169929028
2022/1/29,2:00:00,0.69894468,8.630238716,1027,0.771084337,7.8255057,7.7052116,7.5318356,7.2309003,6.8374915,,7.725728512
2022/1/29,3:00:00,1.149408831,10.32725906,1026.9,0.759036145,8.035772,7.8255057,7.7052116,7.5318356,7.2309003,,9.561946869
2022/1/29,4:00:00,1.186978244,10.45961195,1027.1,0.78313253,8.311274,8.035772,7.8255057,7.7052116,7.5318356,,11.29935741
2022/1/29,5:00:00,1.095793314,10.1343262,1027.3,0.807228916,8.5014925,8.311274,8.035772,7.8255057,7.7052116,,10.08066177
2022/1/29,6:00:00,1.071269609,10.043026,1027.2,0.795180723,8.548581,8.5014925,8.311274,8.035772,7.8255057,,9.940459251
